"activity_at_age_19_appprenticeships","rgn11nm","university_flag"
18.75,"South East","No university"
15,"North West","No university"
13.2075471698113,"North West","No university"
17.7631578947368,"East Midlands","No university"
12.1848739495798,"North West","No university"
18.9655172413793,"North West","No university"
11.699604743083,"Yorkshire and The Humber","University"
15.8249158249158,"North West","No university"
NA,"East Midlands","No university"
15.8536585365854,"South West","No university"
11.9047619047619,"North West","No university"
27.5862068965517,"North East","No university"
16.056338028169,"West Midlands","No university"
13.1386861313869,"East of England","No university"
14.1414141414141,"South West","No university"
21.8181818181818,"East Midlands","No university"
10.4529616724739,"East of England","No university"
13.0081300813008,"South East","No university"
NA,"East of England","No university"
NA,"East Midlands","No university"
15.7575757575758,"Yorkshire and The Humber","No university"
16.6666666666667,"North East","No university"
10.9004739336493,"East of England","No university"
NA,"South West","No university"
9.44206008583691,"South East","No university"
NA,"East of England","No university"
6.03674540682415,"East of England","No university"
12.401055408971,"North West","No university"
16.9230769230769,"Yorkshire and The Humber","No university"
9.38461538461538,"South East","No university"
8.31295843520782,"South East","No university"
12.3076923076923,"South East","No university"
17.9166666666667,"North West","No university"
10.4545454545455,"North West","No university"
16.9230769230769,"East Midlands","No university"
NA,"East of England","No university"
NA,"North West","No university"
21.1764705882353,"Yorkshire and The Humber","No university"
9.85663082437276,"South East","No university"
NA,"South East","No university"
17.4334140435835,"North West","No university"
10.15625,"East Midlands","No university"
18.1818181818182,"Yorkshire and The Humber","No university"
18.4126984126984,"North West","No university"
12.0253164556962,"North West","No university"
11.5740740740741,"North West","No university"
12,"Yorkshire and The Humber","No university"
10.0244498777506,"North West","No university"
12.2137404580153,"Yorkshire and The Humber","No university"
11.2727272727273,"Yorkshire and The Humber","No university"
12.6865671641791,"East Midlands","No university"
13.3333333333333,"Yorkshire and The Humber","No university"
10.3833865814696,"South East","No university"
16.2162162162162,"North East","No university"
15.4639175257732,"Yorkshire and The Humber","No university"
11.2769485903814,"South East","No university"
11.6022099447514,"East of England","No university"
22.2222222222222,"East of England","No university"
15.7142857142857,"South West","No university"
17.7339901477833,"North West","No university"
8.04953560371517,"South East","No university"
14.572864321608,"South East","No university"
13.2911392405063,"Yorkshire and The Humber","No university"
NA,"South East","No university"
7.67888307155323,"North West","No university"
12.2448979591837,"East of England","No university"
15.041782729805,"West Midlands","No university"
9.67741935483871,"East of England","No university"
6.52741514360313,"South East","University"
11.4942528735632,"East of England","No university"
16.3507109004739,"North West","No university"
21.3286713286713,"South West","No university"
7.5187969924812,"North West","No university"
14.7632311977716,"West Midlands","No university"
5.87564175698802,"South East","University"
19.0721649484536,"North East","No university"
18.2584269662921,"East Midlands","No university"
15.2173913043478,"South West","No university"
13.4469696969697,"North West","No university"
13.3333333333333,"North West","No university"
9.42622950819672,"South East","No university"
11.3138686131387,"South West","No university"
17.2222222222222,"Yorkshire and The Humber","No university"
10.0890207715134,"West Midlands","No university"
17.948717948718,"North West","No university"
20.3389830508475,"East Midlands","No university"
13.1034482758621,"Yorkshire and The Humber","No university"
15.4929577464789,"South West","No university"
14.6875,"West Midlands","No university"
NA,"East of England","No university"
14.2011834319527,"North West","No university"
13.6761487964989,"North West","University"
11.4155251141553,"Yorkshire and The Humber","No university"
12.987012987013,"South East","No university"
13.3689839572193,"West Midlands","No university"
13.3802816901408,"South West","No university"
12.5560538116592,"North West","No university"
15.9395973154362,"West Midlands","No university"
12.2222222222222,"Yorkshire and The Humber","No university"
NA,"South East","No university"
10.4761904761905,"South East","No university"
NA,"North West","No university"
16.8674698795181,"South West","No university"
19.2708333333333,"West Midlands","No university"
10.3260869565217,"South East","No university"
11.1111111111111,"South West","No university"
15.7894736842105,"North East","No university"
9.23379174852652,"South West","No university"
6.25,"South East","No university"
10.7142857142857,"South East","No university"
22.7513227513227,"North West","No university"
